Study	Link:	Publication Year:	Species:	Temperature:	Brain Location (In situ vs ex situ vs other):	Initial preservation:	General microscopy method:	Immunostaining primarily:	Visualization method specifics:	Brain Region:	Cell Type:	Time Point:	Structural Feature:	Additional outcome specifier, if any:	Decomposition outcome:	Pilot Round?	Pilot Grade:	Decomposition Grade - Grader 1:	Decomposition Grade - Grader 2:	Random choice for multiple grades from grader 2:	Decomposition Grade - Grader 3:	Consensus grade:
Finnie 2016	https://pubmed.ncbi.nlm.nih.gov/27156898/	2016	Mouse	23°C	In situ	Immersion fixation	Light microscopy	No	Morphologically stained with hematoxylin and eosin; immunostaining for NFP, GFAP, and IBA1	Cerebellar cortex	Purkinje cell 	336 hours	General cell membrane		"Purkinje cells have homogeneous, eosinophilic cytoplasm (homogenization), of varying staining intensity. A ‘ghost-like’ appearance is evident when nuclei disappear or are barely discernible and the cytoplasm is pale-staining and cell boundaries indistinct" 	No	NA	3	3	3	NA	3
Finnie 2016	https://pubmed.ncbi.nlm.nih.gov/27156898/	2016	Mouse	23°C	In situ	Immersion fixation	Light microscopy	No	Morphologically stained with hematoxylin and eosin; immunostaining for NFP, GFAP, and IBA1	Cerebellar cortex	Astrocyte, oligodendrocyte	336 hours	General cell membrane		"Most astrocytes and oligodendrocytes in molecular layer have disappeared, leaving only an occasional pyknotic or karyorrhectic nucleus."	No	NA	3	3	3	NA	3
Garcia 1978	https://pubmed.ncbi.nlm.nih.gov/97917/	1978	Rat	Room temperature	In situ 	Perfusion fixation or immersion fixation	Light microscopy 	No	Morphological staining with hematoxylin and eosin	Cerebral cortex	Multiple or no clear focus	6 hours	General cell membrane	0 hour PMI cases were perfusion fixed, compared to 6 hour PMI cases that were immersion fixed.	"Complete, irreversible ischemia (6 h) at room temperature led to neuronal chromatin clumping, some degree of nuclear swelling and pallor of cytoplasmic nucleid acids (Fig. 2). There was no sponginess of neuropil and no "dark" neurons were observed in any of the sections examined." ... "Pallor of neuronal perikaryon (arrows), halo around capillaries and neurons is accompanied by diffuse irregularities of neuropil" Also Figure 2	No	NA	1	1	1	NA	1
Gärtner 1998	https://pubmed.ncbi.nlm.nih.gov/10192212/	1988	Rat	37°C	Ex Situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining with anti-tau antibodies BR134, AT100, AT270	Cortex	Neuron	30 minutes	General cell membrane		"A postmortem interval of 30 min did not influence the intensity and distribution of reactivity detected by BR134 and the mabs AT100 and AT270 ... The results of this study indicate that postmortem delay of fixation and/or preparation of tissue must be considered in the assessment of immunohistochemical and biochemical data on tau-proteins. The in vivo localization of tau-protein was found in the axonal as well as somatodendritic compartment at least up to a 30-min postmortem interval."	No	NA	0	0	0	NA	0
Gärtner 1998	https://pubmed.ncbi.nlm.nih.gov/10192212/	1988	Rat	37°C	Ex Situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining with anti-tau antibody 12E8	Cortex	Neuron	30 minutes	General cell membrane		"Labeling of Mossy fibers is reduced after immersion-fixation (B), and is hardly detectable after a 30-min postmortem interval" ... "Further decreased staining of mossy fibers, labelling of neuronal somata remains unchanged". Also Figure 2. 	No	NA	2	0	0	NA	0
Gärtner 1998	https://pubmed.ncbi.nlm.nih.gov/10192212/	1988	Rat	37°C	Ex Situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining with anti-tau antibodies PHF-1 and AT8	Cortex	Neuron	30 minutes	General cell membrane		"After a postmortem delay of fixation immunoreactivity is completely lost". Also Figure 3. 	No	NA	3	2	2	NA	2
Gärtner 1998	https://pubmed.ncbi.nlm.nih.gov/10192212/	1988	Rat	37°C	Ex Situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining with anti-tau antibody Tau-1	Cortex	Neuron	30 minutes	General cell membrane		"Effects of postmortem delay and fixation conditions on the distribution of phosphorylated tau detected with the mab Tau-1 in the hippocampus. Compared to staining obtained after perfusion-fixation (A), an increasing labeling of neuronal perikarya is observed after immersion-fixation (B) and a postmortem delay of 30 min"	No	NA	1	1	1	NA	1
Geddes 1995 	https://pubmed.ncbi.nlm.nih.gov/8544917/	1995	Rat	Placed in 37°C liquid, left at room temperature for 6 h, and then placed in a refrigerator at 4°C.	In situ 	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for various neurofilament proteins	Hippocampus	Neuron	4 hours	General cell membrane	Same general observations for multiple neurofilaments, so combined together. 	"One hour after death, perikaryal immunostaining was observed with each of the anti-NF antibodies. This was evident in select neurons in each hippocampal region but was most prominent in CA1 s. oriens. A greater number of neurons exhibited enhanced perikaryal immunostaining 4 h and 8 h after death (Fig. 3). At these later time points, loss of NF-M immunostaining in the outer 2/3 of the dentate gyrus molecular layer was observed, as well as CAI s. lacunosum-moleculare (Fig. 1). With antibodies against nonphosphorylated neurofilament epitopes, loss of neuropil staining was evident in CA1 s. radiatum and s. oriens, and in the CA3/hilar region (Fig. 3). Immunostaining with antibodies against phosphorylated NF-H (SMI-31 and NE 14) was intensified in a band surrounding the CA1 and CA3 pyramidal cells and in the innermost portion of the dentate gyrus molecular layer, but was decreased in other regions including CAI s. radiatum and s. oriens (Fig. 3)." ... "[P]erikaryal accumulation of both phosphorylated and nonphosphorylated neurofilament epitopes."	No	NA	2	2	2	NA	2
Gonzalez-Riano 2017	https://pubmed.ncbi.nlm.nih.gov/28285370/	2017	Mouse	Room temperature	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for NeuN 	Hippocampus	Neuron	0.5 hours	General cell membrane 		"[T]here was a clear decrease in NeuN immunostaining in the stratum pyramidale of CA3 close to the boundary with CA2 in animals from 30 min PT (Fig. 1d) onward that was more pronounced at 5 h PT"	No	NA	1	1	1	NA	1
Gonzalez-Riano 2017	https://pubmed.ncbi.nlm.nih.gov/28285370/	2017	Mouse	Room temperature for 2 hours followed by 3 h at 4°C in a fridge	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for NeuN 	Hippocampus	Neuron	5 hours	General cell membrane 		"[T]here was a clear decrease in NeuN immunostaining in the stratum pyramidale of CA3 close to the boundary with CA2 in animals from 30 min PT (Fig. 1d) onward that was more pronounced at 5 h PT"	No	NA	1	1	1	NA	1
Gonzalez-Riano 2017	https://pubmed.ncbi.nlm.nih.gov/28285370/	2017	Mouse	Room temperature for 2 hours followed by 3 h at 4°C in a fridge	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for SMI-32	Hippocampus	Neuron	5 hours	General cell membrane 		"In the brain of animals fixed by immersion after different post-mortem periods, a similar pattern of SMI-32 immunostaining of cell somata and processes to that of perfused brains was found (Supplementary Fig. S3)."	No	NA	0	0	0	NA	0
Gonzalez-Riano 2017	https://pubmed.ncbi.nlm.nih.gov/28285370/	2017	Mouse	Room temperature	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for Calbindin-D28K	Hippocampus	Neuron	0.5 hours	General cell membrane 		"[T]here were marked changes including increases and decreases in the labeling of elements (cell bodies, neuronal processes or puncta) depending on the hippocampal region and layer examined in immersion-fixed tissue from 30 min to 5 h PT as compared to tissue from perfused animals. These changes occurred after 30 min in the case of CB-immunostaining and NADPH-d histochemical staining and after 2 h in the case of PV. For example, among other changes, there was a clear reduction in the labeling of PV-immunostaining processes and an increase in the NADPH- d staining in the stratum pyramidale of CA1 and CA3, after 2 h in the case of PV and after 30 min in the case of NADPH-d histochemical staining.	No	NA	2	0	0	NA	0
Gonzalez-Riano 2017	https://pubmed.ncbi.nlm.nih.gov/28285370/	2017	Mouse	Room temperature	In situ	Immersion fixation	Light microscopy	No	Histochemical staining for NADPH-d 	Hippocampus	Multiple or no clear focus	0.5 hours	General cell membrane 		"[T]here were marked changes including increases and decreases in the labeling of elements (cell bodies, neuronal processes or puncta) depending on the hippocampal region and layer examined in immersion-fixed tissue from 30 min to 5 h PT as compared to tissue from perfused animals. These changes occurred after 30 min in the case of CB-immunostaining and NADPH-d histochemical staining and after 2 h in the case of PV. For example, among other changes, there was a clear reduction in the labeling of PV-immunostaining processes and an increase in the NADPH- d staining in the stratum pyramidale of CA1 and CA3, after 2 h in the case of PV and after 30 min in the case of NADPH-d histochemical staining.	No	NA	2	0	0	NA	0
Gonzalez-Riano 2017	https://pubmed.ncbi.nlm.nih.gov/28285370/	2017	Mouse	Room temperature	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for Parvalbumin	Hippocampus	Neuron	2 hours	General cell membrane 		"[T]here were marked changes including increases and decreases in the labeling of elements (cell bodies, neuronal processes or puncta) depending on the hippocampal region and layer examined in immersion-fixed tissue from 30 min to 5 h PT as compared to tissue from perfused animals. These changes occurred after 30 min in the case of CB-immunostaining and NADPH-d histochemical staining and after 2 h in the case of PV. For example, among other changes, there was a clear reduction in the labeling of PV-immunostaining processes and an increase in the NADPH- d staining in the stratum pyramidale of CA1 and CA3, after 2 h in the case of PV and after 30 min in the case of NADPH-d histochemical staining.	No	NA	2	0	0	NA	0
Gonzalez-Riano 2017	https://pubmed.ncbi.nlm.nih.gov/28285370/	2017	Mouse	Room temperature for 2 hours followed by 3 h at 4°C in a fridge	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for vGlut1, vGlut2, and vGAT	Multiple or no clear focus	Neuron	5 hours	General cell membrane 		"Although no quantification of either the terminals or intensity of immunostaining was performed, these patterns of vGlut1 and vGlut2 immunostaining were similar between immersion-fixed tissue with different PT and tissue from perfused animals" ... "These patterns of vGAT immunostaining were again similar between immersion- fixed tissue and tissue from perfused animals ... Also note the apparent absence of changes in the distribution of vGlut1, vGlut2 and vGAT between the brains fixed with different procedures and PTs"	No	NA	0	0	0	NA	0
Gonzalez-Riano 2017	https://pubmed.ncbi.nlm.nih.gov/28285370/	2017	Mouse	Room temperature	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for GAD-65	Multiple or no clear focus	Neuron	0.5 hours	General cell membrane 		"Furthermore, we used immunohistochemistry for the 65-kDa isoform of the GABA-synthesizing enzyme glutamic acid decarboxylase (GAD-65), which is particularly prominent in axon terminals, whereas no or very few labeled cell bodies are immunostained (Esclapez et al. 1994). This pattern of GAD-65 immunostaining was observed in tissue from perfused animals (Fig. 3a, c), whereas in immersion-fixed tissue from 30 min to 5 h, numerous labeled cell bodies were observed in the hippocampus (Fig. 3b, d) as well as in many other brain regions (not shown)" 	No	NA	2	1	1	NA	1
Gonzalez-Riano 2017	https://pubmed.ncbi.nlm.nih.gov/28285370/	2017	Mouse	Room temperature for 2 hours followed by 3 h at 4°C in a fridge	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for WFL	Multiple or no clear focus	Multiple or no clear focus	5 hours	Extracellular matrix		"We found that WFA labeling of perineuronal net-like structures is well preserved in immersion-fixed tissue with the different PT and similar to that in brains from perfused animals (Supplementary Figs. S3 and S6). This suggests that the integrity of the extracellular matrix surrounding PV-positive GABAergic neurons is not significantly altered during the first 5 h PT."	No	NA	0	0	0	NA	0
Gonzalez-Riano 2017	https://pubmed.ncbi.nlm.nih.gov/28285370/	2017	Mouse	Room temperature for 2 hours followed by 3 h at 4°C in a fridge	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for GFAP	Multiple or no clear focus	Astrocyte	5 hours 	General cell membrane 		"No general differences in the labeling of these two populations of glial cells were found in the most neocortical and hippocampal regions between the perfusion-fixed tissue and tissue fixed by immersion after different PT"	No	NA	0	0	0	NA	0
Gonzalez-Riano 2017	https://pubmed.ncbi.nlm.nih.gov/28285370/	2017	Mouse	Room temperature	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for Iba1	Multiple or no clear focus	Microglia	2 hours	General cell membrane 		"No general differences in the labeling of these two populations of glial cells were found in the most neocortical and hippocampal regions between the perfusion-fixed tissue and tissue fixed by immersion after different PT ... However, morphological differences in Iba1-ir microglial cells were found between perfusion-fixed tissue and tissue that was immersion-fixed from 2 to 5 h in those regions in which a decrease in the neuronal expression of NeuN was noted, including the retrosplenial cortex and the CA3 hippocampal field (Fig. 4c, d). Here, in line with the morphological descriptions of microglial cells in different pathological conditions (Soltys et al. 2001; Kabadi et al. 2012) (Zhan et al. 2008), in the present study Iba1-ir cells showed a proinflammatory phenotype ranging from hypertrophic microglia (with larger cell bodies and thick, retracted pro- cesses) to bushy microglia (with numerous but short and poorly ramified processes of different diameters forming thick bundles around their enlarged cell bodies)"	No	NA	2	1-2	2	NA	2
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Multiple or no clear focus	6 hours	General cell membrane		"Some of the cell bodies of the medial and lateral habenular nuclei appear slightly swollen. The cell membrane can be determined in most cells, however, there are distinct spaces around most cell bodies and among fibers of the neuropil." ... "vacuoles in the cytoplasm, and irregularities of the cell membrane in some cells."	No	NA	1	1	1	NA	1
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Multiple or no clear focus	6 hours	Neuropil 		"The spaces in the neuropil accentuate each fiber as an indivdual unit. The neuropil fibers appear more prominent not only because of the interfiber spaces, but because they appear to stain more intensely than normal neuropil"	No	NA	1	1	1	NA	1
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Multiple or no clear focus	12 hours	General cell membrane	Reference time of 6 hours PMI	"Cell bodies of the medial and lateral nuclei show only slight changes from the six hour sample. More cells have vacuoles and the previously existing vacuoles have become enlarged." ... "The irregularities of the cell membrane appear as vacuoles in or near the periphery of the cell, or as invaginations of the cell membrane (fig. 5)." ... "Spaces around the cell bodies (pericellular) and in the neuropil (interfiber) are becoming more evident."	No	NA	1	1	1	NA	1
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Multiple or no clear focus	12 hours	Neuropil 	Reference time of 6 hours PMI	"Spaces around the cell bodies (pericellular) and in the neuropil (interfiber) are becoming more evident."	No	NA	1	1	1	NA	1
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Multiple or no clear focus	18 hours	General cell membrane		"The cell border is indistinct in most cells, and the pericellular spaces are prominent"	No	NA	2	2	2	NA	2
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Multiple or no clear focus	24 hours	General cell membrane		"The cell membrane of cells in the medial and lateral nuclei is indistinct for the most part."	No	NA	2	2	2	NA	2
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Multiple or no clear focus	36 hours	General cell membrane		"The cell bodies are slightly swollen and the cytoplasm contains extremely coarse granulations. Cell membranes are highly irregular and in some cells appear almost ruptured."	No	NA	2	3	3	NA	3
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Multiple or no clear focus	36 hours	Neuropil 		"Spaces in the neuropil and around the cell bodies are prominent, and the neuropil has also lost some of its staining ability."	No	NA	2	1	1	NA	1
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Multiple or no clear focus	48 hours	Neuropil 		"The neuropil is fragmented and stains lightly."	No	NA	3	3	3	NA	3
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Multiple or no clear focus	48 hours	General cell membrane		"The cell border can be seen in some cells, but is highly irregular in others (fig. 9)."	No	NA	3	2	2	NA	2
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Oligodendrocyte	6 hours	Myelin		"Individual myelinated fibers are easier to define because of the appearance of interfiber spaces in the tract and in the adjacent tissue. There is little change in the myelin sheath, although some fibers show discrete light areas within the myelin (Fig. 1). The general contour of the myelin remains unaltered."	No	NA	0	1	1	NA	1
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Neuron	6 hours	Axon		"The appearance of spaces in the tract and in the surrounding tissue helps to accentuate individual axons. Axons centrally located in the tract can be defined at this stage. The axons have lost some of their irregular or wavy pattern but still maintain a constant diameter. A few axis cylinders have light areas within the axoplasm."	No	NA	1	1	1	NA	1
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Oligodendrocyte	12 hours	Myelin		"The structure of the myelin tube around the axon has not changed significantly from the six hour sample. A few fibers have occasional slight dilations of the axon area. Light irregular areas can be noted in the myelin sheath (fig. 1)."	No	NA	1	1	1	NA	1
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Neuron	12 hours	Axon		"No progressive change in the axis cylinder can be noted. A few axons of large diameter have areas of slight dilation and constriction accompanied by occasional light areas within the axoplasm"	No	NA	1	1	1	NA	1
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Oligodendrocyte	18 hours	Myelin		"Little progressive change is noted in the myelin tube structure from the 12 hour sample. A few fibers show a slight swelling of the myelin in some areas, and the axis cylinder area is shaded over in some fibers."	No	NA	1	1	1	NA	1
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Neuron	18 hours	Axon		"Only slight changes are noted in the large diameter axons. There is a tendency for them to become irregular and have alternating dark and light areas. Segments of dilation and constriction are also evident in some axons."	No	NA	1	1	1	NA	1
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Oligodendrocyte	24 hours	Myelin		"The myelin tube is slightly swollen and irregular, and light areas can be seen in the substance of the myelin. It is becoming progressively difficult to distinguish individual fiber units of the tract, and in a few fibers the myelin tube appears jagged and irregular. The overall architecture of the fibers has not changed significantly since 18 hours post-mortem."	No	NA	1	2	2	NA	2
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Neuron	24 hours	Axon		"No progressive changes can be noted in the axis cylinder that differ from those discussed for 18 hour samples. The occasional dilations and constrictions previously noted are present, and the alternating light and dark areas are also noted. Previous reports (Ugo, ’27) of the relatively slow post-mortem alterations of the axis cylinder and neurofibrils are verified by this study."	No	NA	1	1	1	NA	1
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Oligodendrocyte	36 hours	Myelin		"Gross structural changes in the myelin tube are still not observed. Previously observed alternating light and dark areas are noted, and the axis cylinders area is slightly shaded over in most fibers, and the shaded axonal area is also showing areas of dilation and constriction (fig. 1). It is noted that the myelin sheath undergoes slow post-mortem alteration."	No	NA	1	2	2	NA	2
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Neuron	36 hours	Axon		"A strikingly characteristic structural change is noted in the axis cylinder at this stage. Almost every axon, regardless of diameter size, demonstrates short, discrete loops (fig. 1). Most axons also have alternating light and dark areas as well as areas of dilation and constriction of the axon."	No	NA	2	2	2	NA	2
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Oligodendrocyte	48 hours	Myelin		"The myelin tube is swollen, almost to the point of completely obliterating the axonal area of some fibers (Fig. 1). Even though the myelin tube is considerably swollen the general configuration is relatively unaltered, supporting the previous report of Kreiner (39-40). The previously noted light areas in the myelin are still recognizable." ... "The myelin tube becomes slightly swollen and shows light and dark areas, however, it retains a relatively normal configuration even up to 48 hours post-mortem."	No	NA	2	2	2	NA	2
Haines 1968	https://pubmed.ncbi.nlm.nih.gov/4173076/	1968	Dog	25°C	In situ 	Immersion fixation	Light microscopy	No	Morphological stain with luxol fast blue - cresyl echt violet	Habenular nuclei	Neuron	48 hours	Axon		"A few axons have lost the loops so characteristic of 36 hour post-mortem samples, but the loops are still present in most fibers to some degree. The alternating light and dark areas are present, and occasional dilations can be noted in some axons." ... "Axonal changes are also relatively minor. After six hours there is a tendency for the oligodendrocyte nuclei and axons to stain with a progressive degree of clarity and intensity. At 36 hours all axons show a variable degree of irregularity and looping, and the axoplasm of the axon has become finely granular by 48 hours post-mortem. The axolemma, as well as the borders of the myelin tube, retain their integrity throughout the time span of this study. The slow post-mortem alteration of fibers reported in this research have been previously observed by Ugo (27) and Kreiner (’39-40)."	No	NA	2	2	2	NA	2
Hausmann 2007	https://pubmed.ncbi.nlm.nih.gov/17031692/	2007	Human	Room temperature	Ex situ	Immersion fixation	Light microscopy	No	Morphologically stained with hematoxylin and eosin	Cerebellar cortex	Purkinje cell	30 hours	General cell membrane		"Tissue samples that had been stored at room temperature up to 30 h after removal at autopsy showed average numbers of Purkinje cells (PC total) ranging between 8.25 and 9.00 PC/unit (Table 3), with a comparable high proportion of intact Purkinje cells (63–75%). The cell numbers and the average sizes of Purkinje cell bodies (535–603 μm2) were comparable to that in the control group."	No	NA	0	0	0	NA	0
Hausmann 2007	https://pubmed.ncbi.nlm.nih.gov/17031692/	2007	Human	Room temperature	Ex situ	Immersion fixation	Light microscopy	No	Morphologically stained with hematoxylin and eosin	Cerebellar cortex	Purkinje cell	46 hours	General cell membrane		"Significantly reduced cell numbers and shrunken cell bodies could be detected in specimens stored for at least 46 h at room temperature before fixation in formaldehyde solution (Fig. 5). The majority of Purkinje cells were characterized by the loss of nuclear staining and “pale” cytoplasm (Fig. 6)," Also Figure 6. 	No	NA	3	2-3	3	NA	3
Hayes 1991	https://pubmed.ncbi.nlm.nih.gov/1672875/	1991	Monkey	Brains immersed in cold PBS	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for SS28_{1-12}	Superior frontal cortex	Neuron	0.5 hours	Axon		"The laminar distribution of SS28_{1-12} immunoreactive fibers following a 0.5 hour post-mortem interval closely resembled that of perfused monkey (compare Figs. 7A and 8A). Layer I had the densest innervation, layer IV the least, and distinct radial fibers could be seen throughout layers III-V. After a 1 hour post-mortem interval, fiber density was somewhat reduced overall, but radial fibers remained distinct. At 2 hours, a further reduction in fiber density was apparent, and fewer radial fibers were seen (Fig. 8B). A similar pattern of SS28_{1-12} immunoreactivity was present following a 4 hour post-mortem interval. However, at 8 hours there was a dramatic drop in overall fiber density, and most of the radial fibers were no longer visible (Fig. 8C). This loss of immunoreactivity between the 4 hour and 8 hour post-mortem intervals was also evident in inferior temporal and primary visual cortices."	No	NA	0	0	0	NA	0
Hayes 1991	https://pubmed.ncbi.nlm.nih.gov/1672875/	1991	Monkey	Brains immersed in cold PBS	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for SS28_{1-12}	Superior frontal cortex	Neuron	8 hours	Axon		"The laminar distribution of SS28_{1-12} immunoreactive fibers following a 0.5 hour post-mortem interval closely resembled that of perfused monkey (compare Figs. 7A and 8A). Layer I had the densest innervation, layer IV the least, and distinct radial fibers could be seen throughout layers III-V. After a 1 hour post-mortem interval, fiber density was somewhat reduced overall, but radial fibers remained distinct. At 2 hours, a further reduction in fiber density was apparent, and fewer radial fibers were seen (Fig. 8B). A similar pattern of SS28_{1-12} immunoreactivity was present following a 4 hour post-mortem interval. However, at 8 hours there was a dramatic drop in overall fiber density, and most of the radial fibers were no longer visible (Fig. 8C). This loss of immunoreactivity between the 4 hour and 8 hour post-mortem intervals was also evident in inferior temporal and primary visual cortices."	No	NA	3	3	3	NA	3
Hayes 1991	https://pubmed.ncbi.nlm.nih.gov/1672875/	1991	Monkey	Brains immersed in cold PBS	Ex situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for SS28_{1-12}	Anterior cingulate white matter	Neuron	12 hours	Cell size		"In order to be certain that increased neuron size in human brains was not due solely to the post-mortem interval, the effect of the length of the post-mortem interval on neuron size was assessed in a third monkey brain. Following a 2 hour post-mortem interval, the mean cell area (118.2 ±  6.6 um2) was only slightly larger than that of perfused monkey (111.7 ±  4.8 um2). At 12 hours, the mean area of labeled cells (144.1 ±  8.1 um2) had increased to that seen in the 12 hour post-mortem sections from the two monkeys used for the species comparisons (Table 4). No additional increase in neuron size was present following 24 hour (139.6 ±  9.6 um2) or 48 hour post-mortem intervals (135.5 ±  10.8 um2). Hence, the increase in cell size due to the post-mortem interval is limited and cannot account fully for the observed species difference"	No	NA	1	1	1	NA	1
Hetzel 1980	https://pubmed.ncbi.nlm.nih.gov/7435137/	1980	Rat, rabbit	Room temperature	Not recorded	Immersion fixation	Electron microscopy	No	Visualized with scanning electron microscopy and transmission electron microscopy	Ependymal layer of the lateral ventricular wall	Ependymal cell	0.25 hours	General cell membrane		 "The small protrusions seen by SEM consist of membrane-surrounded cytoplasmic material. Many intercellular gaps between the ependymal cells are enlarged, but cell junctions (zonulae occludentes and zonulae adhaerentes) between the cells (Fig. 2) remain narrow and closed, the cells are not separated from each other. The subependymal layer makes a slightly spongy impression, the cytoplasm of the subependymal cells appears to be clearer and more vacuolated than the cytoplasm of ependymal cells."	No	NA	1	1	1	NA	1
