Study	Link	Species	General microscopy method	Visualization method specifics	PMI range	Longest PMI reported	Sample size	Brain region	Disease studied, if any recorded	Structural Feature	Outcome	Relevant text	Any significant/substantial correlation of a feature with PMI reported? 
Lesnikova 2018	https://pubmed.ncbi.nlm.nih.gov/29794805/	Human	Light microscopy	Morphological stain with H&E, immunohistochemical stains with S100 and vimentin	1 to 14 or more days	336 hours	40	Not recorded	Not recorded	General cellular morphology	Increase in cell nucleus markers of autolysis in increasing PMI, with loss of cells being the most extreme grade. Decreased immunostaining properties of vimentin and S100 as the PMI increased past 3 days. 	"Brain tissue had a mean decomposition score of 1.11/median of 1.10 in group A, 1.53/1.35 in group B, 2.72/1.40 in group C, and 3.77/5.00 in group D". Also Figure 4. 	Yes
Lindenberg 1956	https://pubmed.ncbi.nlm.nih.gov/13372749/	Human	Light microscopy	Morphological stain with cresyl violet or thionine	8 to 46 hours	46 hours	45	Multiple brain regions	No known internal disease	General neuronal morphology	In the cases with sudden death, vacuolozation, homogenization, or ischemic changes were present, associated with the postmortem interval. In cases preceded by an agonal hypoxia of 1-7 hours, the morphology was much better maintained, without vacuolozation, shrinkage, or swelling, despite the degree of PMI. 		Yes
Liu 1950	https://pubmed.ncbi.nlm.nih.gov/15426436/	Guinea pig	Light microscopy	Morphological stain with thionine and a technique to visualize myelin sheaths	1 to 13 hours (immersion fixation group)	13 hours	16	Multiple brain regions	Malnutrition	General cell morphology	Lighter myelin staining, some swollen neurons, other shrunken neurons, vacuolization, perineuronal and perivascular retraction spaces, compared to perfusion fixation immediately at the time of death. 	"The 16 animals that died from inanition before they could be killed by the perfusion-fixation technic, and whose brains were fixed by immersion in solution of formaldehyde U.S.P. (1:4), showed neuronal changes not unlike many of those that have been described by previous investigators. Sections of the brain prepared by the method for myelin sheaths stained lighter than similar sections from the animals that had been killed by perfusion and lighter than sections from the control animals. Similarly, the sections stained by the technic for Nissl substance appeared lighter. Microscopic examination demonstrated marked generalized changes in all parts of the brain. Some nerve cells were considerably shrunken; others were swollen. The Nissl body patterns were clouded, and in some instances there appeared to be almost complete chromatolysis. Many nerve cells were vacuolated. The perineuronal and perivascular spaces were much larger than those in sections from the control animals. Even in the specimens that were fixed by immersion within one hour after death, such changes were widespread. The similarity between this picture and that obtained in human brain material removed at autopsy and fixed by immersion in solution of formaldehyde U.S.P. was striking."	Yes
Lopes 2008	https://pubmed.ncbi.nlm.nih.gov/18442088/	Human	Light microscopy	Immunostaining for ferritin	3 to 20 hours	20 hours	9	Temporal and frontal cortices	Not recorded	Microglial morphology	No correlation of the morphology of microglia with PMI, although there was an increase in nonspecific background staining after 8 hours PMI. 	"At a PMI of 3 h, ferritin immunoreactive microglial cells exhibited a mostly branched morphology (Fig. 6A), although distal processes were largely devoid of fine ramifications. Similar morphological characteristics were observed at longer PMIs (Figs. 6B–D), and most ferritin-positive microglia in these tissues displayed deramified and beaded processes as described earlier (see Figs. 2 and 3). Instances of deramified microglial cells remained constant from shortest to longest PMI. However, nonspecific background staining was found to increase after a PMI of 8 h."	Yes
Lucassen 1997	https://pubmed.ncbi.nlm.nih.gov/9258259/	Human	Light microscopy	ISEL labeling	1 to 20 hours	20 hours	65	Multiple brain regions	Alzheimer's disease	General cell morphology	No major apoptotic cellular morphology resulting from the PMI. 	"No apoptotic morphology, such as nuclear condensation, membrane blebbing, or apoptotic bodies, was observed in any of the brain areas studied."	No
Maloku 2010	https://pubmed.ncbi.nlm.nih.gov/20150511/	Human	Light microscopy	Morphological stain, Nissl stain (cresyl violet) 	20 ± 6.1 h for nonpsychiatric subject group, 22 ± 5.0 h for schizophrenia group, 20 ± 9 h for bipolar disorder group	Not recorded	54	Cerebellum	Schizophrenia, bipolar disorder, controls	Neuronal density	No correlation of PMI with Purkinje cell density.	"Our mixed models on Purkinje neuron linear density failed to find that background variables had an effect on Purkinje neuron linear density, except for the difference in diagnosis. This included age [F1,421 = 1.51, nonsignificant (NS) when treated as continuous variable; F2,420 = 1.61, NS when treated as categoric variable], gender (F1,421 = 2.61, NS), PMI (F1,421 = 2.75, NS), hemisphere (F1,421 = 1.56, NS), brain pH (F1,421 = 3.32, NS), suicide (F1,421 = 0.31, NS), age of onset of illness (F1,214 = 0.24, NS), other cause of death (F4,410 = 2.09, NS), or type of medication (F3,188 = 1.01, NS)."	No
Mori 1991	https://pubmed.ncbi.nlm.nih.gov/2002653/	Human	Light microscopy 	IgG and laminin immunostaining	5 to 40 hours	40 hours	28	Frontal or temporal lobes	Alzheimer's disease	Blood vessels	Increase in leakage of immunoglobulin out of blood vessels in the PMI.	"The extent and severity of leakage in both the aged and Alzheimer brains tended to increase with the age of the patient and with the interval between death and autopsy."	Yes
Mori 1992	https://pubmed.ncbi.nlm.nih.gov/1563973/	Human	Light microscopy	Laminin immunostaining	5 to 40 hours	40 hours	26	Frontal cortex	Not recorded	Blood vessels	Increased laminin immunostaining/blood vessel visualization with increased postmortem delay. 	"In untreated sections, the areas possessing immunoreactivity tended to be larger as the postmortem delay was prolonged. This was especially notable in 2 cases fixed after prolonged postmortem periods (21 to 40 h), in which moderate immunoreactivity, weaker than that of unfixed frozen sections, was observed throughout the sections. " Also Figure 5.	Yes
Müller 2021	https://pubmed.ncbi.nlm.nih.gov/33001272	Human	Light microscopy	Morphologically stained with combined cell and fiber staining according to Nissl (cresyl violet) and Heidenhain–Woelcke	4 to 164 hours	164 hours	24	Medial habenula	Heroin use disorder	Neuronal density	No correlation of PMI with neuronal density.	"[N]euronal cell numbers were reduced in the MHB of heroin-addicted subjects (395,966 ± 184,178 vs. 644,149 ± 131,140; p < 0.001). These findings were not significantly confounded by age and duration of autolysis." ... "Neurons of heroin addicts were of normal appearance. The cytomorphological analysis by an experienced neuropathologist (CM) revealed no alterations of Nissl bodies or other cytostructural changes in neurons of heroin addicts." ... "Accordingly, no significant influence of age (MHB: F(1,21) = 0.015, p = 0.902; LHB: F(1,21) = 0.420, p = 0.524) and duration of autolysis (MHB: F(1,21) = 0.212, p = 0.650; LHB: F(1,21) = 0.213, p = 0.649) was observed on relative habenular volume differences. Furthermore, these factors showed no significant interaction with diagnosis-related differences of MHB neuronal cell numbers (age: F(1,21) = 0.312, p = 0.582; autolysis: F(1,21) = 0.108, p = 0.746)."	No
Nogami 1999	https://pubmed.ncbi.nlm.nih.gov/12935469/	Human	Light microscopy	Hsp70 immunoreactivity	5 to 56 hours	56 hours	34	Medulla oblongata	Not recorded	General neuronal immunostaining	No significant correlation in proportion of neuronal cytoplasmic staining for Hsp70 with the PMI. 	"Hsp70 immunoreactivity was present in the cytoplasm of some neurons of the XII, X, Cun, and Oli (Fig. 1), while no neuronal staining was observed in the negative control with the non-specific rabbit immunoglobulins. There were statistically significantly fewer neurons with positive cytoplasmic hsp70 immunoreactivity in the Oli than in the XII, X, or Cun (p<0.05 for XII, p<0.01 for X or Cun, Kruskal-Wallice test and Dunn’s test, n=34, Fig. 2). There was no statistically significant correlation between the AMI or PMI, and the percentage of positive cytoplasmic hsp70 immunoreactivity in any of the nuclei studied (Pearson’s test, n=33 for AMI, 30 for PMI)."	No
Nogami 2000	https://pubmed.ncbi.nlm.nih.gov/11095076/	Human	Light microscopy	Cathepsin D immunostaining	5 to 151 hours	151 hours	45	Hippocampus	Not recorded	General cytoplasmic immunostaining	No correlation between PMI and immunostaining distribution for Cathepsin D. 	"CA1 neurons showed strong diffuse cathepsin D immunoreactivity in the cytoplasm (Figure 1A) in all but one case." ... "In one case of chest injury in a traffic accident, CA1 neurons had low cathepsin D immunoreactivity, in which the neurons morphologically showed an ischemic change of cytoplasmic shrinkage (Figure 1B and C). The percentages of positive, cathepsin D immunoreactive cells are shown in Table 1. Virtually all CA1 neurons were positively stained in the majority of cases, in which the percentage of positive neurons was calculated as 100%. No statistically significant correlation was observed between cathepsin D immunoreactivity and the antemortem interval between injury and death (AMI), or the postmortem interval between death and autopsy (PMI) (Pearson’s test)." ". Hill et al. (1997) have shown that global ischemia by two-vessel occlusion in rats resulted in an alteration in the distribution of cathepsin B in hippocampal CA1 neurons from a lysosomal pattern to a more intense label redistributed into the cytoplasmic region. Since some postmortem intervals were inevitable in our study, our autopsied specimens showed intense distribution of cathepsin D in the whole cytoplasm" Figure 1 and 2. "Although lysosomal enzymes including cathepsin D are activated in postmortem necrosis (Lindenberg 1982), there was no clear change in the distribution of cathepsin D immunoreactivity, such as extracellular leakage, or loss of cytoplasmic immunoreactivity. Our results show that cathepsin D immunoreactivity in CA1 neurons is not a useful tool to evaluate neuronal degeneration or postmortem changes."	No
Ohm 1994	https://pubmed.ncbi.nlm.nih.gov/7534362/	Human	Light microscopy	Intracellular filling with Mini-Ruby (MR) dye	7 to 50 hours	50 hours	35	Not recorded, although hippocampus and entorhinal cortex are among the regions studied	Multiple conditions	Neuronal morphology	No correlation with PMI in intracellular morphology dye filling. "The systematic examination of autopsy conditions using M R indicated that neither age ( P > 0.1; Kolmogo- roff-Smirnoff's ~ = 0.4263) nor postmortem delay ( P > 0.1; Kolmogoroff-Smirnoff's 8 = 0.1864) of individuals which gave good fillings differed significantly from those with bad fillings."	"The systematic examination of autopsy conditions using [Mini Ruby] indicated that neither age ( P > 0.1; Kolmogoroff-Smirnoff's ~ = 0.4263) nor postmortem delay ( P > 0.1; Kolmogoroff-Smirnoff's = 0.1864) of individuals which gave good fillings differed significantly from those with bad fillings."	No
Panayotacopoulou 2002	https://pubmed.ncbi.nlm.nih.gov/12411742/	Human	Light microscopy	Tyrosine hydroxylase immunostaining	2 to 39 hours	39 hours	38	Hypothalamus	No neurological, psychiatric, or endocrinological disease	General neuronal immunostaining	No correlation between PMI and immuostaining distribution of tyrosine hydroxylase. 	"This remarkable variability concerned the number and distribution of TH-IR perikarya as well as the intensity of the immunohistochemical reaction and appeared to be related neither to the sex or age of the subjects nor to the postmortem interval or staining procedures. The interindividual differences were evident in samples obtained from both sources after different postmortem delays and fixation or storage times in formalin using any one of the three immunohistochemical procedures on vibratome or paraffin sections."	No
Pejhan 2020	https://pubmed.ncbi.nlm.nih.gov/32246495/	Human	Light microscopy	Immunostaining for MeCP2 and BDNF	Surgical biopsies cases (n = 16) and autopsy brain samples, PMI range of 6 h to 5 days	120 hours	32	Multiple	Rett syndrome	General cellular immunostaining	PMI of >48 hours is associated with variable and inconsistent immunostaining for MeCP2. BDNF is more stable, with a slight decrease in immunostaining with PMI of greater than 3 days. 	"To study the impact of PMD on MeCP2 staining, we performed MeCP2 immunolabelling on surgical and autopsy neocortex samples (Figure 1B–D and Fig- ure S4). MeCP2 immunoreactivity in two operative samples that were immediately fixed was similar to the operative hippocampus samples; and almost all the cells were positive (Figure 1B). Fixation delay of <48 h was associated with minor loss of MeCP2 immunoreactivity (Figure 1C). However, longer delays were accompanied by variable and inconsistent MeCP2 immunostaining (Figure 1D)." ... "Furthermore, we found that BDNF immunoreactivity was relatively stable across the range of PMD studied here. The cytoplasm of perivascular astrocytes and/or endothelial cells was labelled in immediately fixed tissue (Figure S9A–C). Fixation delay of >3 days was associated with a slight decrease in the intensity of labelling (Figure S9K–M). ... Immunostaining for BDNF in the human brain tissue array. BDNF shows higher stability with post mortem delay compared to MeCP2. A slight decrease is observed in the intensity of staining for longer intervals (fixation after 3 days). Glial cells (green arrow); endothelial cells (red arrow); Purkinje cells (purple arrow); x 400 magnification." ... "MeCP2 immunoreactivity in two operative samples that were immediately fixed was similar to the operative hippocampus samples; and almost all the cells were positive (Figure 1B). Fixation delay of <48 h was associated with minor loss of MeCP2 immunoreactivity (Figure 1C). However, longer delays were accompanied by variable and inconsistent MeCP2 immunostaining" ... "Three samples of human brain tissue array immunostained for MeCP2. Human cortex with the minimum delay to fixation (<1 h) shows complete immunoreactivity for MeCP2 (B). Delay in fixation (31 h and 5 days shown) is accompanied by variable immunostaining of all cell types" 	Yes
Pennington 2008	https://pubmed.ncbi.nlm.nih.gov/18805671/	Human	Light microscopy	Morphologically stained with Nissl-staining (cresyl violet) 	23.7 ± 9.9 h in unaffected controls, 33.7 ± 14.6 h in schizophrenia group, 32.5 ± 16.1 h in bipolar disorder group, and 27.5 ± 10.7 h in major depression group	Not recorded	60	Insular cortex	Schizophrenia, bipolar disorder, major depression	Neuronal density, neuronal size, glial density	Longer PMI correlates with increased glial density, but not neuronal density, or neuronal soma size. 	"Increasing brain pH was significantly associated with decreased layer 2 (p = 0.0003) and layer 3 (p = 0004) glial volume, and increased PMI predicted increased glial cell density (p = 0.02)." ... "Specifically, neurons were distinguished by the presence of a nucleolus and some or all of the following; euchromatin, Nissl positive cytoplasm, Nissl positive dendritic processes and an ovoid or irregularly shaped nucleus. In contrast, glial cells were characterised by their lack of nucleolus, the presence of heterochromatin, a thicker nuclear membrane and a usually smaller shape and size."	Yes
Pierri 2001	https://pubmed.ncbi.nlm.nih.gov/11343526/	Human	Light microscopy	Nissl staining	3.3 to 24 hours	24 hours	28	Prefrontal cortex	Schizophrenia	Neuronal size	Significant change in neuronal size during the PMI. 	"Exploratory regression analyses done to assess the effects of sex, age, PMI, and tissue storage time on somal volume indicated a potential effect of PMI on somal volume, which was confirmed in formal modeling."... "Third, neuronal size may change as a function of PMI as was observed in this study"	Yes
Popova 2013	https://pubmed.ncbi.nlm.nih.gov/23948907/	Human	Light microscopy	SLC10A4 immunostaining	24 to 244 hours	244 hours	15	Lateral geniculate body	Alzheimer's disease	General neuronal immunostaining	No correlation between PMI and immunostaining distribution for SLC10A4.	"A high number of strong SLC10A4-IR neurons were observed in the lateral geniculate body (Fig. 1g). Vesicular perinuclear labeling together with punctate and fibrillary labeling of the neuropil was observed in both magnocellular and parvocellular cell layers, whereas staining in the koniocellular cell layers was virtually absent. Noteworthy, this staining was not altered by postmortem delay (range 24–244 h) or fixation time (range 23–46 days)." ... "One, in the section of posterior hippocampus we also had the lateral geniculate body where the neurons were strongly SLC10A4-IR and the IR was not altered by postmortem delay or fixation time, issues known to influence the outcome of IHC stains"	No
Porzionato 2008	https://pubmed.ncbi.nlm.nih.gov/18069990/	Human	Light microscopy	Morphological stain with haematoxylin-eosin, Nissl, Klüver-Barrera, and azan-Mallory	Up to 36 hours (average 29 ± 2.1 hours) 	36 hours	32	Medulla oblongata	Multiple conditions	Presence of apoptotic markers	No correlation of apoptotic markers with PMI. 	"[N]o statistically significant correlation of apoptotic indices with the DAI interval in any group." ... "Moreover, tissue fixation time was quite constant for all specimens, and the apoptotic indices did not correlate with post-mortem delay. Some authors have reported that post-mortem periods of up to 48 h do not influence in situ end-labelling in rat brain (Petito & Roberts, 1995a) and that post-mortem intervals of up to 70 h do not have significant effects on the detection of apoptosis by the TUNEL method in human brain (Adle-Biassette et al. 1995; Gelbard et al. 1995; Petito & Roberts, 1995b; Vincent et al. 1999; Cosenza et al. 2004). However, we must consider that some of the apoptotic phenomena evidenced in our study are to be ascribed to post-mortem changes."	No
Raadsheer 1993	https://pubmed.ncbi.nlm.nih.gov/8364725/	Human 	Light microscopy	Immunostaining for corticotropin-releasing hormone and vasopressin	5 to 39 hours	39 hours	13	Hypothalamus	Multiple conditions	Neuronal morphology	No effect of PMI on corticotropin-releasing hormone staining in paraventricular nucleus cell bodies or in median eminence fibers. 		No
Rajkowska 2015	https://pubmed.ncbi.nlm.nih.gov/25930075/	Human	Light microscopy	Immunostaining for CNP	10 to 44 hours	44 hours	36	Ventral prefrontal white matter	Major depressive disorder	Oligodendrocyte density and size	No correlation of PMI with size or density of CNP-immunoreactive oligodendrocytes. 		No
Rajkowska 2017	https://pubmed.ncbi.nlm.nih.gov/28711621/	Human	Light microscopy	Immunostaining for the serotonin transporter (SERT), using adjacent Nissl-stained sections as a guide	10 to 27 hours	27 hours	35	Orbitofrontal cortex	Major depressive disorder	Axon length	No correlation of PMI with length of serotonin-immunoreactive axons.	"For either cohort, or a combined value for both cohorts, there were no significant Pearson’s correlations between the length of SERT-ir axons and postmortem interval, time in fixative, time in ethanol, or tissue pH (Table 2)."	No
Roberts 1996	https://pubmed.ncbi.nlm.nih.gov/8910733/	Human	Electron microscopy	Stained with osmium tetroxide and uranyl acetate	2.5 hours to greater than 7 hours	7 hours	Not recorded	Striatum	No history of central nervous system or neurological disease	Neuronal morphology	With PMI greater than 7 hours, membrane structures (pre- and post-synaptic membranes, synaptic vesicles, and myelin) were lost or distorted and dendrites; axon terminals, and dendritic spines became bloated or irregular in shape; and extracellular spaces enlarged. 	"Electron microscopic observations of postmortem human brain are possible when the tissue is obtained shortly after death and immersed immediately in cold fixative containing glutaraldehyde. Several other factors other than the PMI can affect the use of postmortem tissue for electron micros- copy, such as the agonal status of the individual and ambient temperature. The ultrastructural integrity of the tissue was compromised if the PMIs were much longer than 7 hours. As the PMI increased beyond several hours, certain structures deteriorated, rendering quantitative analysis difficult, if not impossible. For example, membra- nous structures were lost or distorted, such as pre- and postsynaptic membranes, synaptic vesicles, and myelin. The postsynaptic density became unnaturally thick, mak- ing it difficult to determine whether the synapses were asymmetric or symmetric. Profiles such as axon terminals, spines, dendrites, and mitochondria became bloated andlor irregular in contour, making assessments of size inaccu- rate. The extracellular spaces enlarged in size, making measurements of synaptic density potentially inaccurate. Extracellular space was very sensitive to PMI and was expanded in some but not all areas, even in tissue with very short PMIs (<7 hours). The tissue used in this study, however, had PMIs less than 4 hours and therefore was not afflicted by these postmortem artifacts, other than an occasional expansion in extracellular space. The cases were all of a quality that permitted quantitative analysis"	Yes
Roberts 2005	https://pubmed.ncbi.nlm.nih.gov/15803499/	Human	Electron microscopy	Osmium and uranyl acetate staining	3 to 8 hours	8 hours	27	Striatum	Schizophrenia 	Synapses	No major difference reported based on PMI; instead, adequate structural morphology was reported in the cases with "longer" PMIs. Vacuolozation increased up to approximately 33 hours, then stays steady or decreases. Causes significant compression of tissue and artifactual distortion, which may explain an apparent decrease in the number of synapses visualized, but there is no obvious structural degeneration of membranes.	"The ultrastructural preservation was similar inboth groups and was suitable for synapse classifica-tion (Figs. 1–3). The electron micrographs shown arefrom cases with PMIs of 6 or 7 h to illustrate thequality of the preservation in the ‘‘longer’’ PMIs." ... "These micrographs illus-trate that the ultrastructural preservation is quite adequate todetermine synapse morphology even in this case that suffered a cer-tain amount of asphyxia due to the cause of death and had a‘‘longer’’ PMI." ... Also Figures 1, 2, and 3	No
Roberts 2014	https://pubmed.ncbi.nlm.nih.gov/25064059/	Human	Light microscopy, electron microscopy	Immunostaining for EAAT1 AND EAAT2, with counter morphological stains 	4 to 8 hours	8 hours	8	Frontal cortex	No history of central nervous system disease	General cellular morphology	No qualitative differences in EAAT protein staining patterns between 4 and 8 hours of PMI or comparing their postmortem samples to surgical biopsy samples. 	"Our postmortem tissue used for electron microscopy was fixed in eight hours or under, so there should be minimal diffusion due to PMI. Also, the effect of PMI on a small mouse brain is likely to be much more dramatic than in the much larger human brain, meaning that the PMI could probably be much longer in humans without deleterious effects. Several studies using postmortem human tissue with PMIs equivalent to or greater than ours show no correlation between PMI and EAAT protein levels and/or show a similar distribution to that of the present study, suggesting that EAAT protein is not degraded in tissues with PMIs <20. (Ikematsu et al., 2001, Bauer et al., 2008, Shan et al., 2013, Shan et al., 2014). There were no qualitative differences in staining pattern between the brains used in the present study, where the PMIs ranged from four to eight hours. Finally, the ultrastructural data in human hippocampal resections (Bjørnsen et al., 2007) and cortical biopsies (Melone et al., 2011), which have no PMI, are largely in agreement with our data in postmortem tissue."	No
Rosoklija 2014	https://pubmed.ncbi.nlm.nih.gov/24747874/	Human	Light microscopy	Morphological staining with Golgi-Cox	3 to 25 hours	25 hours	157	Cerebral cortex	Not recorded	General neuronal morphology	No effect of PMI on the quality of Golgi-Cox neuron staining. 	"Over 188 consecutive frontal or hippocampal blocks from over 157 human autopsy cases with postmortem intervals varying from 3 to 25 hours were stained. There were no apparent effects of postmortem interval on the quality of impregnation."	No
Rozemuller 1988	https://pubmed.ncbi.nlm.nih.gov/3185857/	Human	Light microscopy	Immunostaining for antihuman C3c, Clq, IgG, prealbumin and fibrinogen	2 to 24 hours	24 hours	59	Cerebral cortex	Alzheimer's disease	Immunostaining patterns for plasma proteins	No correlation between PMI and staining patterns for plasma proteins. 	"Clusters of peroxidase-positive neurons and glial cells were seen in brains both with short (3-8 hours) and long (24 hours) post-mortem delay (time between death and fixation of the brain). In cases of SDAT with the same post-mortem delay, some brains showed no staining of the brain parenchyma and others showed intensive staining of neurons and glial cells in large cortical areas. Therefore, no relation was found between post-mortem delay and positivity for plasma proteins."	No
Sarnat 2010	https://pubmed.ncbi.nlm.nih.gov/20142767/	Human	Light microscopy	Imunostaining for the protein synaptophysin	Up to 96 hours	96 hours	162	Multiple brain regions	Fetal and neonatal brains	Axons, Synaptophysin immunostaining	The sharp definition in axons and around neurons is lost after 24-48 hours in synpatophysin immunostained tissue. Decline of synpatophysin immunoreactivity after 48 hours. More rapid decline in choroid plexus than in grey matter. 	"The sIR was preserved for more than 96 hours postmortem, even in severely autolytic brains." ... "In cases of 24 to 48 hours of postmortem autolysis before fixation of the brain, the gray matter tissue showed only a mild diffuse loss of sIR, but the sharp definition in axons and around neurons was lost. The sIR remained reliable for routine autopsy examinations up to 72 hours between death and fixation of tissue, but sIR was lost in highly macerated brains with several days of autolysis." Also Figure 6. 	Yes
Scheff 1990	https://pubmed.ncbi.nlm.nih.gov/2325814/	Human	Electron microscopy	Staining with osmium tetroxide, uranyl acetate, and lead citrate	Up to 13 hours	13 hours	18	Cerebral cortex	Alzheimer's disease	Synapse	No relationship between PMI and synaptic volume. 		No
Scheff 1993	https://pubmed.ncbi.nlm.nih.gov/8434881/	Human	Electron microscopy	Staining with osmium tetroxide, uranyl acetate, and lead citrate	3 to 13 hours	13 hours	20	Temporal lobe	Alzheimer's disease	Synapse	No relationship between PMI and the morphological features of synapses analyzed. 		No
Schwab 1994	https://pubmed.ncbi.nlm.nih.gov/7951696/	Human	Light microscopy	Immunostaining for MAP1B, and MAP2, and tau	Comparison of surgical biopsy cases (n = 2) to autopsy cases (n = 5) with a PMI of 16 to 24 hours	24 hours	7	Temporal lobe	Biopsies from people with temporal lobe epilepsy	General neuronal immunostaining	In autopsy cases compared to biopsy cases, there was extensive perikaryal redistribution of MAP1B, and MAP2, and tau. However, this appeared to occur more slowly in human cases than rats. 	"The distribution of tau-I, MAP2, and MAPlB in the surgical specimens was similar to that observed in the immersion-fixed rat brain, with tau-I being predominant in axons, MAP2 in dendrites, and MAP1B immunoreactivity present in both axons and dendrite. A slight perikaryal accu- mulation of MAP2 and MAPlB (Fig. lo), but not of tau-1, was evident. In the hippocampus obtained at autopsy, altera- tions in MAPlB and MAP2 were similar to those observed in the postmortem rat brain. Extensive perikaryal immuno- staining in the dentate gyrus, hilus, CA3, subiculum and occa- sional neuron in CA1 was observed in all autopsy tissues. Somatic tau-l immunoreactivity was observed in all of the autopsy cases, but in three ofthe cases (Al-A3) it was evident only in CA3c, adjacent to CA2 (Fig. 11). In the remaining cases, perikaryal tau accumulation was also evident through- out CAI, as well as in the dentate gyrus, hilus, CA3, and subiculum. This was particularly prominent in case A5, which had the longest postmortem interval." ... "Comparison of results in the rat with those in the human hippocampus obtained at surgery and autopsy demonstrated that postmortem alterations in tau, MAP2, and MAPlB in the human brain were similar to those observed in the rat, al- though they appeared to occur more slowly in the human" 	Yes
Sele 2019	https://pubmed.ncbi.nlm.nih.gov/31481118/ 	Human	Light microscopy, electron microscopy	Morphological stain, including high-pressure freezing step	16 to 24 hours	24 hours	4	Frontal lobe	No known neurodegenerative disorder	Myelin and general cell morphology	On electron microscopy, the percentage of well-preserved myelin sheaths decreases with increasing PMI. On light microscopy, vacuoles increase with the PMI and there are decreasing structural details in the surrounding matrix with increasing PMI. 	"Figure 3 shows that the PMI appeared to have an influence on the preservation of the myelin sheaths: the shorter the PMI, the higher the percentage of well-preserved parts of the myelin sheaths" ... "Light microscopic signs of autolysis were dilations around the vessels and the glia cells. These increased dramatically in size with increasing PMI (Fig. 5). The samples taken from case 1 (PMI 16 h, frontal grey matter) showed a dense organization of the neuronal tissue with a high number of finer structures. In the samples taken from frontal white matter (Fig. 5c-e), with increasing PMI, the organization of the tissue loosened more and more, and vacuole-like structures (putative degraded cellular compartments that could not be recognized any more) dominated instead (Fig. 5 and Fig. 6). Samples with a long PMI (case 4) showed an increased number of vacuole-like structures and hardly any structural details in the surrounding matrix"	Yes
Seppänen 2007	https://pubmed.ncbi.nlm.nih.gov/17555727	Human	Light microscopy	H&E, collagen XVII immunostaining	48 to 120 hours	120 hours	11	Multiple regions	"[N]eurologically unimpaired subjects who had died from cardiovascular causes"	General neuronal immunostaining	No correlation between collagen XVII immunostaining and PMI. 	"The expression of coll XVII was similar in the youngest and the oldest subject and no gender influence was seen. Furthermore, no difference in coll XVII-IR was seen in relation to post-mortem delay, which ranged from 48 to 124 h, or fixation time, ranging from 23 to 65 days. In line with this, statistical analysis did not reveal any correlation between coll XVII and the studied variables, i.e. age at death, gender, post-mortem delay and fixation time. However, an almost total lack of coll XVII-IR was noted in the one case that suffered pre-mortem cerebral hypoxia and that displayed numerous ischemic neurons in the brain samples (case no 11, rapidity of death Aiii)."	No
Sheedy 2012	https://pubmed.ncbi.nlm.nih.gov/21710172/	Human	Light microscopy	Morphological staining with H&E	3 to 72.5 hours	72.5 hours	105	Cerebellum 	Not recorded	Cellular morphology	No correlation between histologic autolytic changes in the cerebellar granule cell layer and PMI. 	Table 2	No
Sheng 1998	https://pubmed.ncbi.nlm.nih.gov/9542587/	Human	Light microscopy	IL-1α immunostaining	Average of 16 ± 2 h in those < 60 years old and 11 ± 2 h in those > 60 years old	Not recorded	22	Tissue blocks of hippocampus and adjacent mesial temporal structures	Neurologically normal individuals	Microglial morphology	No correlation between PMI and microglia morphology. 	"These age-associated changes in microglial number and morphology were independent of postmortem interval"	No
Smith 1993	https://pubmed.ncbi.nlm.nih.gov/7690371/	Human	Light microscopy	Immunohistochemistry, "Synaptophysin-, serotonin-, cholecystokinin-, substance P-, and somatostatin-like staining"	5 to 21 hours, compared to surgically removed tissue	21 hours	9	Olfactory bulb	Multiple conditions, biopsies from people with epilepsy	General immunostaining 	Compared to surgically removed samples, samples with longer PMI had deterioration, including diminished immunostaining of processes and the appearance of vacuoles. However, the immunostaining patterns were qualitatively similar. 	"It is important to note that the general pattern and qualitative aspects of immunoreactivities were equivalent for the operating room and autopsy tissues. As expected, the longer postmortem intervals did result in progressive deterioration of the tissue. This included the appearance of vacuoles and a general decrease in the intensity and number of immunoreactive processes. Analyses of human tissue are limited due to the interval between cessation of respiration and fixation. This is especially problematic for studies using antibodies to antigenic sites that degrade very quickly prior to fixation. In these cases it is crucial to recognize that the absence of immunoreactivity does not necessarily imply the absence of the antigenic site. Consequently, it is appropriate to exercise caution in making comparisons with results obtained from other species in which perfusions were used to prepare the tissue. Nevertheless, the analyses and results described in the present report appear to be qualitatively consistent with prior studies."	Yes
Steiner 2006	https://pubmed.ncbi.nlm.nih.gov/16783554/	Human	Light microscopy	HLA-DR immunohistochemistry	8 to 72 hours	72 hours	32	Multiple regions	Schizophrenia	Microglial morphology	PMI correlated with ramified microglia cell morphology density in ACC/DLPFC and ameboid cell morphology density in hippocampus. No apparent adjustment for multiple comparisons. No correlation of microglial density with PMI. 	"Postmortem interval showed a positive correlation with ramified cell density in ACC (left: r =0.47, P=0.01; right: r=0.48, P=0.01) and DLPFC (left: r=0.37, P=0.04; right: r=0.49, P=0.01) and ameboid cell density in left hippocampus (left: r=0.40, P=0.03)."	Yes
Stockmeier 2004	https://pubmed.ncbi.nlm.nih.gov/15522247/	Human	Light microscopy	Nissl staining	4 to 29 hours	29 hours	40	Hippocampus	Depression	General cell morphology	No significant correlation between PMI and neuron or glia cell size. 	"When using Bonferroni corrections for multiple comparisons, there were no significant correlations between age, postmortem interval, tissue pH or brain weight, and the neuronal and glial density and size measures"	No
